titulo,titulo_abreviado,link,precio_actual,precio_sin_descuento,criticas,calificacion,AmazonChoice,Date,porcentaje_de_descuento
Ulefone Armor 9 Rugged Cell Phones Unlocked  Thermal Imaging Camera  Endoscoped Supported  Helio P90 8GB + 128GB Android 10  64MP Camera  6600mAh  6.3 inch FHD+ Screen  NFC  OTG  Not Include Endoscope,Ulefone Armor 9 Rugg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0580678338H35JZK6NTV&url=%2FUlefone-Unlocked-Endoscoped-Supported-Endoscope%2Fdp%2FB08BC4H7D4%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1617939336%26sr%3D8-11-spons%26psc%3D1&qualifier=1617939336&id=4960765834120632&widgetName=sp_mtf,629.99,629.99,82.0,0.0,False,8/4/2021,0.0
"Xiaomi Redmi Note 9 Pro Smartphone - 6.67"" DotDisplay 6 GB + 128 GB  64 MP AI Quad Camera  5020 mAh (type) NFC  Grigio (Interstellar Grey)",Xiaomi Redmi Note 9 ,/Xiaomi-DotDisplay-Qualcomm-Snapdragon-Smartphone/dp/B0881TZRTZ/ref=sr_1_12?dchild=1&keywords=smartphone&qid=1617939336&sr=8-12,290.0,290.0,0.0,4.5,False,8/4/2021,0.0
Motorola Moto E7 Plus XT2081-1 64GB Dual Sim GSM Unlocked Android Smartphone - Misty Blue,Motorola Moto E7 Plu,/Motorola-XT2081-1-Factory-Unlocked-Smartphone/dp/B08JQQHQXW/ref=sr_1_13?dchild=1&keywords=smartphone&qid=1617939336&sr=8-13,164.99,164.99,196.0,4.3,False,8/4/2021,0.0
LACKOOL Monocular Telescope for Smartphone Monoculars for Adults Kids 10 x 42 High Power with Hand Strap and Phone Holder Hunting Gear Mens Gadget for Bird Watching Travelling Wildlife Secenery,LACKOOL Monocular Te,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03544111P4J9FWS39VLJ&url=%2FLACKOOL-Monocular-Smartphone-Monoculars-Travelling%2Fdp%2FB08Y6N6WBC%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1617939336%26sr%3D8-16-spons%26psc%3D1&qualifier=1617939336&id=4960765834120632&widgetName=sp_mtf,45.99,45.99,1.0,0.0,False,8/4/2021,0.0
Samsung Galaxy A01 (A015M) 32GB  Dual SIM  GSM Unlocked  5.7” Display Smartphone - International Version - Black,Samsung Galaxy A01 (,/Samsung-Galaxy-Unlocked-Display-Smartphone/dp/B08BS55YDC/ref=sr_1_18?dchild=1&keywords=smartphone&qid=1617939336&sr=8-18,132.99,132.99,258.0,4.3,False,8/4/2021,0.0
TracFone Motorola Moto E6 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,TracFone Motorola Mo,/Tracfone-Motorola-Prepaid-Smartphone-Locked/dp/B07Y5TTS2Q/ref=sr_1_29?dchild=1&keywords=smartphone&qid=1617939343&sr=8-29,39.88,39.88,0.0,4.4,True,8/4/2021,0.0
Unlocked Smartphones  Blackview A80 Android 10 Smartphone  6.21 inch HD + Screen  Four Rear Cameras  2GB + 16GB  4200 mAh Battery  8.8 mm Smooth & Slim Design  Dual SIM Unlocked Cell Phone GPS Black,Unlocked Smartphones,/Unlocked-Smartphones-Blackview-Android-Smartphone/dp/B08PKJK6XP/ref=sr_1_19?dchild=1&keywords=smartphone&qid=1617939336&sr=8-19,109.99,109.99,31.0,4.0,False,8/4/2021,0.0
Intelligent Mobile Phone 6.7IN 1440X3040 Fingerprint Unlock Dual Cards Dual Standby Smartphone Face Unlock100‑240V 8+256GB(us Plug),Intelligent Mobile P,/Intelligent-1440X3040-Fingerprint-Smartphone-Unlock100%E2%80%91240V/dp/B08NXMCW44/ref=sr_1_20?dchild=1&keywords=smartphone&qid=1617939336&sr=8-20,137.09,137.09,0.0,0.0,False,8/4/2021,0.0
Simple Mobile Motorola Moto E6 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - GSM,Simple Mobile Motoro,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0265514EB3K9KZZM8UX&url=%2FSimple-Mobile-Motorola-Prepaid-Smartphone%2Fdp%2FB07Y5T1MNK%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1617939336%26sr%3D8-21-spons%26psc%3D1&qualifier=1617939336&id=4960765834120632&widgetName=sp_btf,39.88,39.88,120.0,0.0,False,8/4/2021,0.0
OUKITEL WP10 5G Rugged Smartphone Unlocked  8000MAH Battery 18W Fast Charging  8GB+126GB Android 10  6.67’’ FHD+  48MP AI Quad Camera  Fingerprint/Face ID/NFC/FM/GPS  Waterproof Phones Global Version,OUKITEL WP10 5G Rugg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01508812MO969E8TBB4Y&url=%2FOUKITEL-Smartphone-Unlocked-Fingerprint-Waterproof%2Fdp%2FB08ZHRFVPL%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1617939336%26sr%3D8-22-spons%26psc%3D1&qualifier=1617939336&id=4960765834120632&widgetName=sp_btf,569.99,569.99,6.0,0.0,False,8/4/2021,0.0
